V1 V2 pop country continent lang
Maya961 858 86 Maya Mexico AMERICA Mayan
Maya963 859 86 Maya Mexico AMERICA Mayan
Maya965 860 86 Maya Mexico AMERICA Mayan
Maya967 861 86 Maya Mexico AMERICA Mayan
Maya969 862 86 Maya Mexico AMERICA Mayan
Maya971 863 86 Maya Mexico AMERICA Mayan
Maya973 864 86 Maya Mexico AMERICA Mayan
Maya975 865 86 Maya Mexico AMERICA Mayan
Maya977 866 86 Maya Mexico AMERICA Mayan
Maya979 867 86 Maya Mexico AMERICA Mayan
Maya981 868 86 Maya Mexico AMERICA Mayan
Maya983 869 86 Maya Mexico AMERICA Mayan
Maya985 870 86 Maya Mexico AMERICA Mayan
Maya987 871 86 Maya Mexico AMERICA Mayan
Maya989 872 86 Maya Mexico AMERICA Mayan
Maya991 873 86 Maya Mexico AMERICA Mayan
Maya993 874 86 Maya Mexico AMERICA Mayan
Maya995 875 86 Maya Mexico AMERICA Mayan
Maya997 876 86 Maya Mexico AMERICA Mayan
Maya999 877 86 Maya Mexico AMERICA Mayan
Maya1001 878 86 Maya Mexico AMERICA Mayan
Pima1003 1037 87 Pima Mexico AMERICA Uto-Aztecan
Pima1005 1038 87 Pima Mexico AMERICA Uto-Aztecan
Pima1007 1039 87 Pima Mexico AMERICA Uto-Aztecan
Pima1009 1040 87 Pima Mexico AMERICA Uto-Aztecan
Pima1011 1041 87 Pima Mexico AMERICA Uto-Aztecan
Pima1013 1042 87 Pima Mexico AMERICA Uto-Aztecan
Pima1015 1043 87 Pima Mexico AMERICA Uto-Aztecan
Pima1017 1044 87 Pima Mexico AMERICA Uto-Aztecan
Pima1019 1045 87 Pima Mexico AMERICA Uto-Aztecan
Pima1021 1046 87 Pima Mexico AMERICA Uto-Aztecan
Pima1023 1047 87 Pima Mexico AMERICA Uto-Aztecan
Pima1025 1048 87 Pima Mexico AMERICA Uto-Aztecan
Pima1027 1049 87 Pima Mexico AMERICA Uto-Aztecan
Pima1029 1050 87 Pima Mexico AMERICA Uto-Aztecan
Pima1031 1051 87 Pima Mexico AMERICA Uto-Aztecan
Pima1033 1052 87 Pima Mexico AMERICA Uto-Aztecan
Pima1035 1053 87 Pima Mexico AMERICA Uto-Aztecan
Pima1037 1054 87 Pima Mexico AMERICA Uto-Aztecan
Pima1039 1055 87 Pima Mexico AMERICA Uto-Aztecan
Pima1041 1056 87 Pima Mexico AMERICA Uto-Aztecan
Pima1043 1057 87 Pima Mexico AMERICA Uto-Aztecan
Pima1045 1058 87 Pima Mexico AMERICA Uto-Aztecan
Pima1047 1059 87 Pima Mexico AMERICA Uto-Aztecan
Pima1049 1060 87 Pima Mexico AMERICA Uto-Aztecan
Pima1051 1061 87 Pima Mexico AMERICA Uto-Aztecan
